Order #,Purchase Date,Day,Marketplace Seller,Seller_Raw,Attribute Set,Name,SKU,Qty Ordered,Item Price,Row Total,Discount Amount,Value After Discounts,Coupon Code,Customer Region,Payment Method
2006397735,2026-09-24 15:27:20,Sep 24,MP,linesleep,Bedding,لحاف فايبر لاين سليب، 220×180 سم - بيج فاتح,QLT23220X180LBG,1.0,655.0,655.0,32.75,622.25,tex200,الجيزة,Souhoola
2006397732,2026-09-24 15:26:42,Sep 24,raneen,raneen,Bedding,دفاية فرو ساراتوجا سادة، 210×240 سم ، 1500 جرام تقريباً,TX1065289OLV,1.0,279.0,279.0,0.0,279.0,,القاهرة,Cash On Delivery
2006397732,2026-09-24 15:26:42,Sep 24,raneen,raneen,Bedding,دفاية فرو ساراتوجا سادة، 210×240 سم ، 1500 جرام تقريباً,TX1065289KSH,1.0,279.0,279.0,0.0,279.0,,القاهرة,Cash On Delivery
2006397732,2026-09-24 15:26:42,Sep 24,MP,attallah,Water Heaters,سخان مياه كهربائي ريلاكس فريش، 30 لتر، EWH RELAX 30l - ابيض,EL1055235WHT-conf-attallah,1.0,2847.0,2847.0,0.0,2847.0,,القاهرة,Cash On Delivery
2006397729,2026-09-24 15:26:05,Sep 24,MP,linesleep,Bedding,لحاف فايبر لاين سليب، 220×180 سم - بيج فاتح,QLT23220X180LBG,1.0,655.0,655.0,32.75,622.25,tex200,الجيزة,Souhoola
2006397726,2026-09-24 15:26:02,Sep 24,MP,alistore,Washers &amp; Dryer,غسالة ملابس فوق اتوماتيك تورنيدو ، 13 كجم، انفرتر، TWE-TLD13RBK - اسود,EL1100931BNS-alistore,1.0,21900.0,21900.0,0.0,21900.0,,القاهرة,Cash On Delivery
2006397723,2026-09-24 15:24:40,Sep 24,raneen,raneen,Air Conditioner,تكييف سبليت هاير + كابول ، 3 حصان، انفرتر ايكو، بارد فقط، HSU-24KCRIA- ابيض,ELKIT1835WIT,1.0,41999.0,41999.0,0.0,41999.0,,القاهرة,valU
2006397720,2026-09-24 15:24:02,Sep 24,raneen,raneen,Water Heaters,سخان مياه فورى فريش، 9 كيلو وات - ابيض,EL1079888WIT,1.0,6899.0,6899.0,344.95,6554.05,LA400,الأسكندرية,Bank Misr Installments
2006397717,2026-09-24 15:23:41,Sep 24,raneen,raneen,Dinnerware,طقم عشاء اركوبال لوفوشيا، 42 قطعة - متعدد الالوان,HO1136627BNW,1.0,999.0,999.0,0.0,999.0,,الأسكندرية,Cash On Delivery
2006397717,2026-09-24 15:23:41,Sep 24,MP,radiotalaat,Electronics Audio,راديو كلاسيك جولون، عداد رقمي، RX-608ACW - بني,RT12175BRN,1.0,350.0,350.0,0.0,350.0,,الأسكندرية,Cash On Delivery
2006397714,2026-09-24 15:22:24,Sep 24,raneen,raneen,Bike &amp; Scooters,عجلة تريو تايك بلاستيك للاطفال، اربع عجلات، صوت وضوء - ازرق فاتح ابيض,TY1143811LBL,1.0,699.0,699.0,69.9,629.1,TOY150,الغربية,Cash On Delivery
2006397711,2026-09-24 15:22:14,Sep 24,raneen,raneen,Air Conditioner,تكييف سبليت هاير + كابول ، 3 حصان، انفرتر ايكو، بارد فقط، HSU-24KCRIA- ابيض,ELKIT1835WIT,1.0,41999.0,41999.0,0.0,41999.0,,القاهرة,valU
2006397711,2026-09-24 15:22:14,Sep 24,raneen,raneen,Air Conditioner,تكييف سبلت سمارت كول هاير، 1.5 حصان، بارد فقط، واي فاي، HSU-12KCROC-R32 - ابيض,ELKIT1871WIT,1.0,18359.0,18359.0,0.0,18359.0,,القاهرة,valU
2006397708,2026-09-24 15:21:39,Sep 24,MP,razgallery,Mattress,كفر مرتبة قطن وتربروف، طول 200 سم,WIT200X160-razgallery,1.0,359.0,359.0,17.95,341.05,TEX200,القاهرة,Cash On Delivery
