Order #,Purchase Date,Day,Order Status,Marketplace Seller,Seller_Raw,Attribute Set,Name,SKU,Qty Ordered,Item Price,Row Total,Discount Amount,Value After Discounts,Coupon Code,Customer Region,Payment Method,Purchase Point
2005955365,2026-07-02 03:08:51,Jul 02,Pending Payment,raneen,raneen,Mobile Phones,موبايل سمارت انفنكس Smart 10، شريحتين، شبكة الجيل الرابع، 64 جيجا بايت، 3+3 جيجا رام - ذهبى,EL1136467GLD,1.0,5649.0,5649.0,282.45,5366.55,GWAZ400,الأسكندرية,Credit/Debit Card,"Raneen
   Raneen Store
      العربية
"
2005955368,2026-07-02 03:08:50,Jul 02,Pending,MP,rofaeeltrade,Built in,شفاط بلت ان بالمدخنة اى كوك يونيون اير‏، 60 سم، GUSTO60X - فضي,EL1054724SLVconf-rofaeeltrade,1.0,2874.0,2874.0,143.7,2730.3,GWAZ400,القليوبية,Cash On Delivery,"Raneen
   Raneen Store
      العربية
"
2005955362,2026-07-02 03:08:13,Jul 02,Pending Payment,MP,elandalos,Air Conditioner,تكييف سبليت تورنيدو ، 1.5 حصان ، بارد - ساخن ، TY-LX12CHE انفرتر - ابيض,TY-LX12CHE,1.0,24144.0,24144.0,0.0,24144.0,,القاهرة,Credit/Debit Card,"Raneen
   Raneen Store
      العربية
"
2005955359,2026-07-02 03:07:26,Jul 02,Pending Payment,raneen,raneen,Mobile Phones,موبايل سمارت انفنيكس سمارت 20، شبكة الجيل الرابع، شريحتين، 64 جيجا بايت، 4 جيجا رام - تيتانيوم,EL1148741SLV,1.0,6299.0,6299.0,314.95,5984.05,GWAZ400,الغربية,Paymob Wallet,"Raneen
   Raneen Store
      العربية
"
2005955356,2026-07-02 03:07:17,Jul 02,Pending,MP,goldena,Televisions,تلفزيون تريدنجوو ، 43 بوصة Full HD، بدون أطار - 43TA1001- اسود,MP-3500150002,1.0,7922.0,7922.0,396.1,7525.9,GWAZ400,الغربية,Cash On Delivery,"Raneen
   Raneen Store
      العربية
"
2005955353,2026-07-02 03:07:07,Jul 02,Pending Payment,raneen,raneen,Mobile Phones,موبايل سمارت انفنيكس سمارت 20، شبكة الجيل الرابع، شريحتين، 64 جيجا بايت، 4 جيجا رام - تيتانيوم,EL1148741SLV,1.0,6299.0,6299.0,0.0,6299.0,,الغربية,Paymob Wallet,"Raneen
   Raneen Store
      العربية
"
2005955350,2026-07-02 03:06:11,Jul 02,Pending,raneen,raneen,Fans,مروحة ستاند تورنيدو، 18 بوصة، 4 ريشة، 3 سرعات، TSF-18XW - أسود,EL1071300BLK,1.0,2404.0,2404.0,120.2,2283.8,gwaz400,البحيرة,Cash On Delivery,"Raneen
   Raneen Store
      العربية
"
2005955350,2026-07-02 03:06:11,Jul 02,Pending,raneen,raneen,Irons,مكواة بخار تورنيدو ، 2400 وات ، قاعدة سيراميك ، سعة 300 مل، TST-2400NC - بنفسجى اسود,EL1140524PPR,1.0,1539.0,1539.0,76.95,1462.05,gwaz400,البحيرة,Cash On Delivery,"Raneen
   Raneen Store
      العربية
"
2005955350,2026-07-02 03:06:11,Jul 02,Pending,raneen,raneen,Washers &amp; Dryer,غسالة ملابس تحميل علوي سمارت فريش، 7 كجم، SWM 700-500007008 - ابيض,EL1049791WIT,1.0,3099.0,3099.0,154.95,2944.05,gwaz400,البحيرة,Cash On Delivery,"Raneen
   Raneen Store
      العربية
"
2005955347,2026-07-02 03:05:54,Jul 02,Processing,raneen,raneen,Mobile Phones,موبايل سمارت انفنكس Smart 10، شريحتين، شبكة الجيل الرابع، 64 جيجا بايت، 3+3 جيجا رام - ذهبى,EL1136467GLD,1.0,5649.0,5649.0,282.45,5366.55,GWAZ400,الأسكندرية,Credit/Debit Card,"Raneen
   Raneen Store
      العربية
"
2005955344,2026-07-02 03:04:56,Jul 02,Pending,MP,walidcosmetics,Hair Treatments,كبسولات إصلاح الشعر إندولا إنوفا، 30 غرام,RAN-6V6NAMQ,1.0,935.55,935.55,46.78,888.77,GWAZ400,المنوفية,Cash On Delivery,"Raneen
   Raneen Store
      العربية
"
2005955344,2026-07-02 03:04:56,Jul 02,Pending,MP,walidcosmetics,Shampoos &amp; Conditioners,شامبو إصلاح الشعر إندولا 1000 مل | ينظف ويرطب الشعر التالف,RAN-96TVR6U,1.0,1805.0,1805.0,90.25,1714.75,GWAZ400,المنوفية,Cash On Delivery,"Raneen
   Raneen Store
      العربية
"
2005955341,2026-07-02 03:04:55,Jul 02,Processing,raneen,raneen,Mobile Phones,موبايل سمارت انفنيكس سمارت 20، شبكة الجيل الرابع، شريحتين، 64 جيجا بايت، 4 جيجا رام - تيتانيوم,EL1148741SLV,1.0,6299.0,6299.0,314.95,5984.05,GWAZ400,الغربية,Paymob Wallet,"Raneen
   Raneen Store
      العربية
"
2005955338,2026-07-02 03:04:38,Jul 02,Pending,raneen,raneen,Dinnerware,طقم عشاء أركوبال أماراتي لومينارك، 26 قطعة - ابيض,HO1124768WI1,1.0,1299.0,1299.0,64.95,1234.05,GWAZ400,الغربية,Cash On Delivery,"Raneen
   Raneen Store
      العربية
"
2005955338,2026-07-02 03:04:38,Jul 02,Pending,raneen,raneen,Cookware,طقم زجاج حرارى بورجام، 6 قطع - شفاف,HO1078899CLR,1.0,799.0,799.0,39.95,759.05,GWAZ400,الغربية,Cash On Delivery,"Raneen
   Raneen Store
      العربية
"
2005955335,2026-07-02 03:03:17,Jul 02,Pending Payment,MP,radiotalaat,Mobile Phones,موبايل ريدمي 15 ، ثنائي الشريحة ، 128 جيجابايت ، 6 جيجابايت رام ، 4G - اسود,196864,1.0,9255.0,9255.0,400.0,8855.0,GWAZ400,القاهرة,Credit/Debit Card,"Raneen
   Raneen Store
      العربية
"
2005955332,2026-07-02 03:02:30,Jul 02,Processing,raneen,raneen,Storage,شانون بلاستيك الوطنية، 5 درج، 109×38×47 سم - بني بيج,HO1126905BNB,1.0,1199.0,1199.0,0.0,1199.0,,الجيزة,valU,"Raneen
   Raneen Store
      العربية
"
2005955329,2026-07-02 03:02:14,Jul 02,Pending Payment,MP,futureappliances,Air Conditioner,تكييف انفرتر اتش دبليو ميشن ميديا، 1.5 حصان، بارد فقط، ‎MSCT-12CR DNF-Q8 - ابيض,MHMPMSCT-12CR DNF-Q8-FA,1.0,28999.0,28999.0,400.0,28599.0,GWAZ400,المنوفية,valU,"Raneen
   Raneen Store
      العربية
"
2005955326,2026-07-02 03:01:53,Jul 02,Pending Payment,raneen,raneen,Kitchenware,مفرش سيليكون مستطيل لعمل البيتزا والفطائر، 36×43 سم - احمر,HO1075165ORG,1.0,75.0,75.0,0.0,75.0,,الأسكندرية,El-Ahly Installments,"Raneen
   Raneen Store
      العربية
"
2005955326,2026-07-02 03:01:53,Jul 02,Pending Payment,raneen,raneen,Iron Tables,ترابيزة مكواة معدن قابلة للطي سارا، 142×45×105 سم - متعدد الالوان,HO1044730MR2,1.0,1199.0,1199.0,0.0,1199.0,,الأسكندرية,El-Ahly Installments,"Raneen
   Raneen Store
      العربية
"
2005955326,2026-07-02 03:01:53,Jul 02,Pending Payment,MP,mattger,Kitchen Scale,ميزان مطبخ رقمي، 10 كجم - ابيض,104MAT,1.0,134.49,134.49,0.0,134.49,,الأسكندرية,El-Ahly Installments,"Raneen
   Raneen Store
      العربية
"
2005955326,2026-07-02 03:01:53,Jul 02,Pending Payment,raneen,raneen,Cookware,دبل جريل جرانيت بيد بكالايت ماستر، 36 سم - كافية,HO1073469CF1,1.0,1999.0,1999.0,0.0,1999.0,,الأسكندرية,El-Ahly Installments,"Raneen
   Raneen Store
      العربية
"
2005955326,2026-07-02 03:01:53,Jul 02,Pending Payment,MP,nilestore,Personal Scale,ميزان ديجتال الترا لايف، لقياس دهون الجسم، 180 كجم، F48-B- اسود ابيض,F48-B,1.0,2400.0,2400.0,0.0,2400.0,,الأسكندرية,El-Ahly Installments,"Raneen
   Raneen Store
      العربية
"
2005955323,2026-07-02 03:01:03,Jul 02,Processing,raneen,raneen,Refrigerators &amp; Freezers,ديب فريزر افقي باساب، ديفروست، سعة 250 لتر، ES335 - فضي,EL1129652SLV,1.0,11999.0,11999.0,400.0,11599.0,GWAZ400,كفر الشيخ,Bank Misr Installments,"Raneen
   Raneen Store
      العربية
"
2005955320,2026-07-02 03:00:53,Jul 02,Pending Payment,raneen,raneen,Mobile Phones,موبايل سمارت انفنكس Smart 10، شريحتين، شبكة الجيل الرابع، 64 جيجا بايت، 3+3 جيجا رام - ذهبى,EL1136467GLD,1.0,5649.0,5649.0,282.45,5366.55,gwaz400,سوهاج,Credit/Debit Card,"Raneen
   Raneen Store
      العربية
"
2005955317,2026-07-02 03:00:34,Jul 02,Pending Payment,raneen,raneen,Cookers,بوتجاز الاهرام، 5 شعلة، 80×60 سم، ستانلس بالكامل - فضى اسود,EL1109460SLV,1.0,5889.0,5889.0,294.45,5594.55,GWAZ400,الغربية,Bank Misr Installments,"Raneen
   Raneen Store
      العربية
"
2005955314,2026-07-02 03:00:16,Jul 02,Processing,raneen,raneen,Mobile Accessories,جراب حمايه لانيكس، متوافق مع ايفون 13 برو ماكس - تركواز,EL1110427TM3,1.0,19.0,19.0,0.0,19.0,tex200,الساحل الشمالي,Bank Misr Installments,"Raneen
   Raneen Store
      العربية
"
2005955314,2026-07-02 03:00:16,Jul 02,Processing,MP,dukanalaa,Batteries,بطارية ريموت توشيبا متعددة الاستخدام 1.5 فولت - 4 قطعة,rb1.5v4-alla,1.0,69.0,69.0,0.0,69.0,tex200,الساحل الشمالي,Bank Misr Installments,"Raneen
   Raneen Store
      العربية
"
